Relay URL,Latitude,Longitude
nostr.chaima.info,51.5072,-0.127586
borgar.lol,52.3676,4.90414
dm-test-strfry-discovery.samt.st,43.6532,-79.3832
relay.plebeian.market:443,50.1109,8.68213
relay.hivetalk.org,40.8302,-74.1299
relay.favillakey.io,-27.4705,153.026
relay.bullishbounty.com,43.6532,-79.3832
no.str.cr,8.96171,-83.5246
relay.dyne.org,49.0291,8.35705
adre.su,59.9311,30.3609
relay.mitchelltribe.com,39.0438,-77.4874
relay.duck1123.com,43.6532,-79.3832
relay.staging.plebeian.market,51.5072,-0.127586
nostr.twinkle.lol,51.902,7.6657
nostr.mom:443,50.4754,12.3683
relay.jmoose.rocks:443,32.8009,-96.8195
relay.satsmarkt.club,52.6907,4.8181
relay.nostrcheck.me,43.6532,-79.3832
cyberspace.nostr1.com,40.7057,-74.0136
relay.veganostr.com:443,60.1699,24.9384
relay.nearhood.co.uk,51.5134,-0.0890675
nostr.stakey.net,52.3676,4.90414
nostr-rs-relay.dev.fedibtc.com:443,39.0438,-77.4874
relay.nostr-check.me,43.6532,-79.3832
bcast.girino.org,43.6532,-79.3832
nostr.wecsats.io:443,43.6532,-79.3832
chat-relay.zap-work.com:443,43.6532,-79.3832
nostr.azzamo.net,52.2633,21.0283
relayone.soundhsa.com:443,39.0997,-94.5786
pymd.kamp.site,38.9072,-77.0369
relay.sharegap.net,43.6532,-79.3832
relay.satmaxt.xyz,43.6532,-79.3832
relay.nmail.li,50.9871,2.12554
fanfares.nostr1.com,40.7057,-74.0136
relay-testnet.k8s.layer3.news,37.3387,-121.885
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
strfry.bonsai.com:443,39.0438,-77.4874
public.crostr.com:443,43.6532,-79.3832
nostrride.io,37.3986,-121.964
relay.routstr.com,59.4016,17.9455
public.crostr.com,43.6532,-79.3832
relayone.geektank.ai:443,39.0997,-94.5786
relay.kaleidoswap.com,50.8476,4.35717
relay.stg.formstr.app,54.6872,25.2797
relay.paulstephenborile.com,49.4543,11.0746
nostr.data.haus:443,50.4754,12.3683
nostriches.club,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
relay.bitos.space,43.6532,-79.3832
relay.shadowbip.com,54.352,18.6466
relay.bullishbounty.com:443,43.6532,-79.3832
nostr.planix.org,43.6532,-79.3832
relay.liberbitworld.org,43.6532,-79.3832
nostr.sathoarder.com,48.5734,7.75211
nostr.whitenode45.ddns.net,40.55,-74.4758
relay.directsponsor.net,42.8864,-78.8784
nostr.hekster.org,37.3986,-121.964
relay-arg.zombi.cloudrodion.com,1.35208,103.82
relay.degmods.com,50.4754,12.3683
nostr.spaceshell.xyz,43.6532,-79.3832
nostr.chaima.info:443,51.5072,-0.127586
nostr.pbfs.io:443,50.4754,12.3683
dm-test-strfry-generic.samt.st,43.6532,-79.3832
spamspamspamspam.rest,43.6532,-79.3832
nr.yay.so,46.2126,6.1154
relay.minibolt.info,43.6532,-79.3832
relay.mitchelltribe.com:443,39.0438,-77.4874
nostr.janx.com,43.6532,-79.3832
nostrelay.circum.space,52.2245,8.826
relay.earthly.city,34.1749,-118.54
budabit.nostr1.com,40.7057,-74.0136
relay.underorion.se,50.1109,8.68213
relay.paulstephenborile.com:443,49.4543,11.0746
nostr-pr02.redscrypt.org,52.3676,4.90414
relay.novospes.com,43.6532,-79.3832
relay.keykeeper.world,40.7824,-74.0711
relay2.orangesync.tech,40.7128,-74.006
nostr-01.yakihonne.com:443,1.32123,103.695
relay.trotters.cc:443,43.6532,-79.3832
treuzkas.branruz.com,48.8575,2.35138
nostr.21crypto.ch,47.5356,8.73209
relay1.privkey.io,25.7617,-80.1918
buzz.cashu.space,50.1109,8.68213
chorus.mikedilger.com:444,-36.8906,174.794
wheat.happytavern.co,43.6532,-79.3832
nostr.stakey.net:443,52.3676,4.90414
prl.plus,55.7558,37.6173
relay.vrtmrz.net,43.6532,-79.3832
relay.pocketstr.com,40.8302,-74.1299
relay.snort.social,53.3498,-6.26031
relay.flashapp.me,43.6548,-79.3885
nostr.emanuelemiani.it,45.778,8.79414
relay.wisp.talk:443,49.4543,11.0746
vault.iris.to:443,43.6532,-79.3832
relay.staging.plebeian.market:443,51.5072,-0.127586
offchain.bostr.online,43.6532,-79.3832
maxq.descendant.io,43.6532,-79.3832
relay.plebchain.club,43.6532,-79.3832
nostr.2b9t.xyz:443,34.0549,-118.243
relay.ditto.pub:443,43.6532,-79.3832
dev-relay.nostreon.com,60.1699,24.9384
nostr.tbxnetworx.de,47.8226,10.0064
nostr.4rs.nl,49.0291,8.35696
nostr2.girino.org,43.6532,-79.3832
relayrs.notoshi.win:443,43.6532,-79.3832
relay.ltgnet.work:8443,51.0511,-114.075
relay.fountain.fm,43.6532,-79.3832
relay.wasabiwallet.io,43.6532,-79.3832
relay.trotters.cc,43.6532,-79.3832
nostr-relay.xbytez.io:443,50.6924,3.20113
nostr.oxtr.dev:443,50.4754,12.3683
